combination,model,k_cross_val,max_authors,model_params,accuracy
8,k_neighbors,9,1600,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8506250000000001
9,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8198611111111109
9,k_neighbors,9,1600,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8198611111111109
10,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8338194444444444
10,k_neighbors,9,1600,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8338194444444444
11,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8395138888888891
11,k_neighbors,9,1600,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8395138888888891
12,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8348611111111109
12,k_neighbors,9,1600,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8348611111111109
13,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8268055555555556
13,k_neighbors,9,1600,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8268055555555556
14,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8211111111111111
14,k_neighbors,9,1600,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8211111111111111
15,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8297916666666666
15,k_neighbors,9,1600,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8297916666666666
16,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8369444444444444
16,k_neighbors,9,1600,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8369444444444444
17,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8400694444444445
17,k_neighbors,9,1600,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8400694444444445
18,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8224305555555556
18,k_neighbors,9,1600,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8224305555555556
19,cosknn,9,1600,"{'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8293055555555556
19,k_neighbors,9,1600,"{'n_jobs': -1, 'weights': 'distance', 'algorithm': 'brute', 'n_neighbors': 1, 'output_layer': 'output_embedding'}",0.8293055555555556
